epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3147,1.8708,4.36924,2.4237,0.00186,0.7,0.0282,0.01332,1.46008,4.82781,2.67109,0.0002856,0.0002856,0.0002856
2,111.231,1.45247,3.9125,1.91193,0.00261,0.7,0.21105,0.0798,1.24653,4.60584,2.29325,0.000430542,0.000430542,0.000430542
3,164.833,1.29842,3.73812,1.792,0.00329,0.7,0.31099,0.1586,1.12934,4.65254,2.12182,0.00024276,0.00024276,0.00024276
